np_id	pref_name	iupac_name	chembl_id	pubchem_cid	num_of_organism	num_of_target	num_of_activity	if_has_Quantity
NPC100002	Dibromomethane	dibromomethane	CHEMBL1229889	3024	4	1	3	No
NPC100005	MXFUWJQZQGWIOY-FETLVNPKSA-N	n.a.	n.a.	101412375	7	0	0	No
NPC100008	WPYIYVXSMXASQL-PEBLQZBPSA-N	n.a.	n.a.	14583329	16	0	0	No
NPC100312	LTNUWWZNTOSEML-SNLNFDIBSA-N	n.a.	n.a.	n.a.	1	4	4	No
NPC100016	KKFCJNGKHYRAPZ-MPCIYCNASA-N	n.a.	n.a.	n.a.	13	0	0	No
NPC100313	Yuanhuadine	n.a.	CHEMBL1911631	6440572	1	26	57	No
NPC100020	LDNLPQJLCPARJX-SANMLTNESA-N	n.a.	n.a.	n.a.	9	0	0	No
NPC100031	YPRVNVFJGQUFKN-QFQUXZBZSA-O	n.a.	n.a.	10897548	1	0	0	No
NPC100032	IAXYZHODIUFGKB-CQWPOWKPSA-N	n.a.	n.a.	101967018	1	0	0	No
NPC100037	ZFUYDSOHVJVQNB-FZERPYLPSA-N	n.a.	n.a.	n.a.	50	0	0	No
NPC100039	4-Methylbenzaldehyde	4-methylbenzaldehyde	CHEMBL190927	7725	23	6	6	No
NPC100040	LKPOXZGIKOMCEB-LLVKDONJSA-N	n.a.	n.a.	n.a.	5	0	0	No
NPC100048	RANQPHKSRUUPKK-GPUGMLHBSA-N	n.a.	CHEMBL506315	10629555	24	3	3	No
NPC488668	Olean-12(13)En-3Beta-Hexadecanoate	[(3S,4aR,6aR,6bS,8aR,12aS,14aR,14bR)-4,4,6a,6b,8a,11,11,14b-octamethyl-1,2,3,4a,5,6,7,8,9,10,12,12a,14,14a-tetradecahydropicen-3-yl] hexadecanoate	CHEMBL1170486	13915595	1	1	1	No
NPC100052	NGMZHPQMBVXJMC-HAPNVBLMSA-N	n.a.	n.a.	5320647	2	0	0	No
NPC100333	FOUJWBXBKVVHCJ-YIJYGBTNSA-N	n.a.	n.a.	22212495	3	0	0	No
NPC100067	Kanzonol C	(E)-1-[2,4-dihydroxy-3-(3-methylbut-2-enyl)phenyl]-3-[4-hydroxy-3-(3-methylbut-2-enyl)phenyl]prop-2-en-1-one	CHEMBL1644933	5316802	6	13	27	No
NPC100070	QKBZTZVPMNKKGN-QFQJZDFCSA-N	n.a.	n.a.	11844767	1	0	0	No
NPC100076	FJYTXXBFGIOJGK-IBGZPJMESA-N	n.a.	n.a.	n.a.	5	0	0	No
NPC100078	XRLDSQWGEQUZHL-JPTLKCMGSA-N	n.a.	CHEMBL450533	11397709	1	4	4	No
NPC100079	Chelerythrine	1,2-dimethoxy-12-methyl-[1,3]benzodioxolo[5,6-c]phenanthridin-12-ium	CHEMBL13045	2703	121	299	647	No
NPC100082	KONGRWVLXLWGDV-BYGOPZEFSA-N	n.a.	n.a.	11276107	44	0	0	No
NPC100095	PTQURJSSVZYXNH-QICRIBIQSA-N	n.a.	n.a.	n.a.	1	0	0	No
NPC100096	(S)-17,18-Dihydroxy-9,11,13,15-Octadecatetraynoic Acid	(17R)-17,18-dihydroxyoctadeca-9,11,13,15-tetraynoic acid	CHEMBL459615	10447521	1	8	10	No
NPC100099	(S)-4-(7-Methoxychroman-2-Yl)Phenol	4-[(2S)-7-methoxy-3,4-dihydro-2H-chromen-2-yl]phenol	CHEMBL1080979	185609	18	5	6	No
